post_id,predicted_tense,true_tense
3dy8wl,0,0
3igqrf,0,1
3igsr7,0,1
3nt5ew,0,1
3nt86s,0,1
518v54,0,0
5bd6hr,0,0
5euhxf,0,0
5fs1yf,0,0
5phzns,0,0
5uo9xj,0,0
5yylq2,0,0
6h9s3x,0,0
6qiqc7,0,0
7tks4h,0,0
9k4o50,0,0
ba5tou,0,1
700v7d,0,0
7063a7,0,0
70ke56,1,0
71trdu,0,0
728w57,0,0
3cqp6y,0,0
3cqya9,0,0
3e1b5s,0,0
6zkt8s,0,0
7004qt,0,0
73ps8l,0,0
4uxokl,0,0
4v188e,0,0
516elz,0,0
51asc3,0,0
534g0g,0,0
55a8ps,0,0
57jr8x,0,0
5ri9pf,0,0
68a9dh,0,0
6rltyf,0,0
71cl8c,0,0
71clao,0,0
77f9yb,0,0
607niv,1,0
61qx2n,0,0
62sbkv,0,0
63rnxs,0,0
64xkmj,1,0
65uequ,0,0
6a5yn8,0,0
6ebujs,1,0
6inwke,0,0
9x54pd,0,1
a3ri4d,0,1
a43ojt,0,0
55ajwt,0,0
57ejx7,0,0
6icb2z,0,0
6icc1u,0,0
6knqqt,0,0
6xydw9,0,0
725rhw,0,0
725rta,0,0
7lu1ed,0,0
7lu2i9,0,0
5oht74,0,0
5ope6e,0,0
5ow3t9,1,0
5p45ip,0,0
5paxbr,0,0
5pieag,0,0
5po74b,0,0
5q2yd7,0,0
5q5z00,0,0
5qam5y,1,0
5qh7o9,0,0
5qnoyr,0,0
5qul95,0,0
5r0lya,0,0
5r8afs,0,0
5rf4hs,0,0
5rmcy7,0,0
5rtnk6,0,0
5s0p8o,0,0
5sdy7b,0,0
5ssayz,0,0
5szjvv,0,0
5t6muw,0,0
5tm4rq,0,0
5uej8s,0,0
2r79os,0,0
2rb273,0,0
2rfvru,0,0
5sjje4,0,0
66t8t7,0,0
6e1wbk,0,0
6jilbu,0,0
6jkz19,0,0
6jprrk,0,0
6jqqi2,0,0
6jtam9,0,0
6k0l82,0,0
6k5gpv,0,0
6kkxof,0,0
6r2vt5,0,0
6r4qyt,0,0
7y61tu,0,0
y55tq,0,0
ygg2m,0,0
zzech,0,0
189jzm,0,0
1dcxyt,0,0
1ip2y2,0,0
28ltk2,0,0
2y148m,0,0
2y9t1b,0,0
379lfx,0,0
3d7135,1,0
3gezxz,0,0
3glfpd,0,0
3nqeie,0,0
40inra,0,0
49iuq9,0,0
49ommq,0,0
84utu0,0,0
8rjy5y,0,0
7k1few,1,0
7tdpm3,0,0
7xiifr,0,0
8dfzx9,0,0
8ektq0,0,0
8o0sp1,0,0
930v7p,0,0
6io4hs,0,0
77vqr1,0,0
7dnif5,0,0
7sy08z,0,0
8ro6ec,0,0
3l5nw6,0,0
3m8tmw,0,0
3rva6k,0,0
3rveij,0,0
422c1l,0,0
43l956,0,0
44q51x,0,0
481d1a,0,0
49vwv2,0,0
4bquxv,0,0
7pej2i,0,0
7xpgw5,0,0
8s2nwu,0,0
a041t0,0,0
aahjui,0,0
5vveqc,0,0
71ng3x,0,0
72vmr4,0,0
73yc0j,0,0
74t8q6,0,0
7brnf4,0,0
7t9p86,0,0
7tklhm,0,0
7uke35,0,0
819ivi,0,0
81qb6u,0,0
851jqd,0,0
88dktr,0,0
8a44dc,0,0
8a8cwd,0,0
8cdcoj,0,0
8e12qh,0,0
8ju7q8,0,0
8lkudz,0,0
8o62i0,0,0
8pfne2,0,0
8pm7yp,0,0
8wmy45,0,0
58dd82,0,0
5g6x4z,0,0
5oti2i,0,0
5qxv7q,0,0
5r9qbq,0,0
5t56zt,0,0
5zg351,0,0
5zq7b9,0,0
67whz4,0,0
6rly0p,0,0
6u3x5c,0,0
6u5lb7,0,0
6u9715,0,1
6ualhi,0,0
682d3b,0,0
6eijd4,0,0
6fg1j6,0,0
6trb3k,0,0
7bmrck,0,0
7ru9l7,0,0
8lklgw,0,0
962cbt,0,0
6ecox4,0,0
6ejlt5,0,0
6errz8,0,0
6exs63,0,0
6eyew8,0,0
6fcck9,1,1
6g781q,1,0
6golmf,0,0
6gou8x,0,0
6iaj3m,0,0
6ihpnl,0,0
6jbkfz,0,0
6jfyax,0,0
6m41ju,0,0
6n19x9,0,0
6pbh75,0,0
6tx04u,0,0
6wx3ln,0,0
6zbm1j,0,0
71ehhl,0,0
77yau9,0,0
7exdor,0,0
7gjwh1,0,0
7hl33q,0,0
822896,0,0
8vel4c,0,0
9wveea,0,0
1ym4ee,0,0
1yops0,0,0
212fta,0,0
23nup6,0,0
2fl0x9,0,0
2g6agl,0,0
2h5exs,0,0
2hlh1z,0,0
2irzez,0,0
2jea88,0,0
2jv8il,0,0
2jytmb,0,0
2ked9w,0,0
2lnrmz,0,0
1pbnkc,0,0
1pha2r,0,0
1pnpvq,0,0
1tzncq,0,0
7gq0yc,0,0
5lob90,0,0
5tqmox,0,0
600t7j,0,0
60s37k,0,0
61o3re,0,0
64ndta,0,0
64q2i1,0,0
67d3f9,0,0
67guh7,0,0
6bdi2u,0,0
6gicm6,0,0
8l9jhe,0,0
4whcxi,0,0
4wmevz,0,0
4yj9xi,0,0
4yyk78,0,0
4z0ik4,0,0
507vuc,0,0
50t068,0,0
511dtc,0,0
51afdr,0,0
51av7r,0,0
51i5g8,0,0
55fkee,0,0
709dzb,0,0
70i6vv,0,0
70p8a0,0,0
717jp7,0,0
73dkzj,0,0
