post_id,predicted_tense,true_tense
3dy8wl,1,1
3igqrf,1,0
3igsr7,1,0
3nt5ew,1,0
3nt86s,1,0
518v54,1,1
5bd6hr,1,1
5euhxf,1,1
5fs1yf,1,1
5phzns,1,1
5uo9xj,1,1
5yylq2,1,1
6h9s3x,1,1
6qiqc7,1,1
7tks4h,0,1
9k4o50,0,0
ba5tou,1,0
700v7d,1,0
7063a7,1,1
70ke56,1,1
71trdu,1,1
728w57,1,1
3cqp6y,1,1
3cqya9,1,1
3e1b5s,1,1
6zkt8s,1,1
7004qt,1,1
73ps8l,1,1
4uxokl,1,1
4v188e,1,1
516elz,1,1
51asc3,1,1
534g0g,0,1
55a8ps,1,1
57jr8x,1,1
5ri9pf,1,1
68a9dh,0,1
6rltyf,1,1
71cl8c,1,1
71clao,1,1
77f9yb,0,1
607niv,1,1
61qx2n,1,1
62sbkv,1,1
63rnxs,1,1
64xkmj,1,1
65uequ,1,1
6a5yn8,1,1
6ebujs,1,1
6inwke,0,1
9x54pd,1,0
a3ri4d,1,0
a43ojt,1,1
55ajwt,1,1
57ejx7,0,1
6icb2z,0,1
6icc1u,1,1
6knqqt,0,1
6xydw9,1,1
725rhw,1,1
725rta,0,1
7lu1ed,0,1
7lu2i9,0,0
5oht74,1,0
5ope6e,1,1
5ow3t9,1,1
5p45ip,1,1
5paxbr,1,1
5pieag,1,1
5po74b,1,1
5q2yd7,1,1
5q5z00,1,1
5qam5y,1,1
5qh7o9,1,1
5qnoyr,1,1
5qul95,1,1
5r0lya,1,1
5r8afs,1,1
5rf4hs,1,1
5rmcy7,1,1
5rtnk6,1,1
5s0p8o,1,1
5sdy7b,1,1
5ssayz,1,1
5szjvv,1,1
5t6muw,1,1
5tm4rq,1,1
5uej8s,1,1
2r79os,1,1
2rb273,1,1
2rfvru,1,1
5sjje4,1,1
66t8t7,1,1
6e1wbk,1,1
6jilbu,1,1
6jkz19,1,1
6jprrk,1,1
6jqqi2,1,1
6jtam9,0,1
6k0l82,1,1
6k5gpv,1,1
6kkxof,1,1
6r2vt5,1,1
6r4qyt,1,1
7y61tu,1,1
y55tq,1,1
ygg2m,1,1
zzech,1,1
189jzm,1,1
1dcxyt,1,1
1ip2y2,1,1
28ltk2,1,1
2y148m,1,1
2y9t1b,0,1
379lfx,1,1
3d7135,1,1
3gezxz,1,1
3glfpd,0,1
3nqeie,1,1
40inra,1,1
49iuq9,1,1
49ommq,1,1
84utu0,0,1
8rjy5y,0,1
7k1few,1,0
7tdpm3,1,1
7xiifr,1,1
8dfzx9,1,1
8ektq0,1,0
8o0sp1,1,1
930v7p,1,1
6io4hs,1,1
77vqr1,1,1
7dnif5,1,1
7sy08z,0,1
8ro6ec,1,1
3l5nw6,0,1
3m8tmw,1,1
3rva6k,0,1
3rveij,0,1
422c1l,0,1
43l956,1,1
44q51x,1,1
481d1a,1,1
49vwv2,1,1
4bquxv,1,1
7pej2i,1,0
7xpgw5,1,1
8s2nwu,1,1
a041t0,1,1
aahjui,1,1
5vveqc,0,1
71ng3x,0,1
72vmr4,1,1
73yc0j,0,1
74t8q6,1,1
7brnf4,0,1
7t9p86,0,1
7tklhm,0,1
7uke35,0,1
819ivi,1,1
81qb6u,1,1
851jqd,1,1
88dktr,1,1
8a44dc,1,1
8a8cwd,0,1
8cdcoj,1,1
8e12qh,1,1
8ju7q8,1,1
8lkudz,0,1
8o62i0,1,1
8pfne2,1,1
8pm7yp,1,1
8wmy45,1,1
58dd82,1,1
5g6x4z,1,1
5oti2i,0,1
5qxv7q,1,1
5r9qbq,1,1
5t56zt,1,1
5zg351,1,1
5zq7b9,1,1
67whz4,0,1
6rly0p,1,1
6u3x5c,1,1
6u5lb7,1,1
6u9715,1,0
6ualhi,1,1
682d3b,1,1
6eijd4,0,1
6fg1j6,1,1
6trb3k,1,1
7bmrck,1,1
7ru9l7,1,1
8lklgw,0,1
962cbt,1,1
6ecox4,1,1
6ejlt5,1,1
6errz8,1,1
6exs63,1,1
6eyew8,1,1
6fcck9,1,0
6g781q,1,1
6golmf,1,1
6gou8x,0,1
6iaj3m,1,1
6ihpnl,0,1
6jbkfz,1,1
6jfyax,1,1
6m41ju,1,1
6n19x9,1,1
6pbh75,1,1
6tx04u,0,1
6wx3ln,1,1
6zbm1j,1,1
71ehhl,1,1
77yau9,1,1
7exdor,1,1
7gjwh1,1,1
7hl33q,1,1
822896,1,1
8vel4c,1,1
9wveea,1,1
1ym4ee,1,0
1yops0,1,1
212fta,1,1
23nup6,1,1
2fl0x9,1,0
2g6agl,1,1
2h5exs,1,1
2hlh1z,1,1
2irzez,0,1
2jea88,1,1
2jv8il,1,1
2jytmb,0,1
2ked9w,1,1
2lnrmz,1,1
1pbnkc,1,0
1pha2r,1,1
1pnpvq,1,1
1tzncq,1,1
7gq0yc,1,1
5lob90,0,1
5tqmox,0,1
600t7j,0,1
60s37k,0,1
61o3re,0,1
64ndta,0,1
64q2i1,1,1
67d3f9,0,1
67guh7,0,1
6bdi2u,0,1
6gicm6,1,1
8l9jhe,0,1
4whcxi,1,1
4wmevz,1,1
4yj9xi,1,1
4yyk78,1,1
4z0ik4,1,1
507vuc,1,1
50t068,1,1
511dtc,1,1
51afdr,1,1
51av7r,1,1
51i5g8,1,1
55fkee,1,1
709dzb,1,1
70i6vv,0,1
70p8a0,1,1
717jp7,1,1
73dkzj,0,1
75me0h,1,1
75v3o8,0,1
76s9o0,1,1
7x8stk,1,1
84a91v,1,1
30rgmb,1,1
3gk4rv,1,0
56784z,1,1
586zw6,0,1
5x7v8m,0,1
60qhq3,1,1
660odp,0,1
6fnfd1,0,1
7rruc3,0,1
8azllf,1,1
9p1562,1,1
b4589b,0,1
4u51gl,1,1
4ubmn6,1,1
4vo6wf,1,1
561s45,1,1
56u4hy,1,1
5kmnc9,1,0
5lclr7,1,1
5liang,1,0
5s9xqw,1,0
65cv05,1,1
66uruk,1,1
67qd20,1,1
684n6j,1,1
68nqa7,1,1
69xqnx,1,1
6b9sv9,1,1
6b9xty,1,1
6ch1pr,1,1
6f1fyi,1,1
6iadgq,1,1
6iafug,0,1
71bh1s,0,1
7a369f,1,1
7a37vk,1,1
7bh2h1,1,1
7d4os4,1,1
7rtg8w,1,1
7ry0e9,1,1
7t7r8p,1,1
8esvcs,1,1
6pti31,1,1
6rq4jr,1,1
6s4f3m,1,1
6s4g3u,0,1
6s9hcr,0,1
6sfhn8,0,1
6strz9,0,1
6t76hx,0,1
6t7aid,0,1
6t7dy4,1,1
6te5tz,0,1
6te81p,0,1
6tkb44,0,1
7aan22,1,1
7d3drl,0,1
7h5zeb,1,1
81trra,0,1
82kro2,1,1
864n60,1,1
866m4p,1,1
86gisl,1,1
86wml6,0,1
8adleu,0,1
8hk9f1,0,1
8tn4nf,1,1
8u4r94,1,1
96dht9,1,1
973ctk,1,1
98i3nc,0,1
9a8qun,0,1
813uhb,1,1
81bdva,1,1
81nzm1,1,1
82lbna,1,1
83eb0b,1,1
84cko6,1,1
85p8rf,1,1
8bd9d1,1,1
8w46n9,1,1
958rvq,1,0
au0blm,0,1
2ygt26,1,1
2yr9h0,1,1
2ytend,1,1
2yv6rl,1,1
2z48lr,1,1
2zay7h,1,1
2zh8zg,1,1
2znfx6,1,1
2zyvaz,1,1
30g3oc,1,1
30nqve,1,1
319i06,0,1
31nhy0,1,1
31u79l,1,1
322nga,1,1
32y8tc,1,1
34h01x,1,1
36d0kl,1,1
38qu2a,1,1
300yu5,0,1
3qjtg2,1,1
3qqd04,0,1
3rf7l6,0,1
59w2as,1,1
5hqafy,1,1
79cnsc,1,1
9sdokj,0,1
7aua4u,0,1
9p4b20,1,1
9rnwdl,1,1
9uia52,1,1
9ulwjb,1,1
33006o,1,1
37aze9,1,1
38m7en,1,1
39zap1,1,1
3e3bbi,1,1
3up5g3,0,1
4l2ag5,1,1
4tpjx0,0,1
51cous,1,1
6f54ec,0,1
5d90vf,1,1
6ozbun,1,1
6rafnn,1,1
7g1vqd,1,0
7g5du4,1,1
7gyelj,1,1
7jw8g6,1,1
7rgp0u,1,1
7t30ft,0,1
7tzxdn,1,1
8y0e1z,1,1
949sge,1,0
96lipy,1,1
