post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,0,0,None,False
3igqrf,0,1,None,False
3igsr7,0,1,None,False
3nt5ew,0,1,None,False
3nt86s,0,1,None,False
518v54,0,0,None,False
5bd6hr,0,0,None,False
5euhxf,0,0,None,False
5fs1yf,0,0,None,False
5phzns,0,0,None,False
5uo9xj,0,0,None,False
5yylq2,0,0,None,False
6h9s3x,0,0,None,False
6qiqc7,0,0,None,False
7tks4h,0,0,None,False
9k4o50,0,0,None,False
ba5tou,0,1,None,False
700v7d,0,0,None,False
7063a7,0,0,None,False
70ke56,0,0,None,False
71trdu,0,0,None,False
728w57,0,0,None,False
3cqp6y,0,0,None,False
3cqya9,0,0,None,False
3e1b5s,0,0,None,False
6zkt8s,0,0,None,False
7004qt,0,0,None,False
73ps8l,0,0,None,False
4uxokl,0,0,None,False
4v188e,0,0,None,False
516elz,0,0,None,False
51asc3,0,0,None,False
534g0g,0,0,None,False
55a8ps,0,0,None,False
57jr8x,0,0,None,False
5ri9pf,0,0,None,False
68a9dh,0,0,None,False
6rltyf,0,0,None,False
71cl8c,0,0,None,False
71clao,0,0,None,False
77f9yb,0,0,None,False
607niv,0,0,None,False
61qx2n,0,0,None,False
62sbkv,0,0,None,False
63rnxs,0,0,None,False
64xkmj,0,0,None,False
65uequ,0,0,None,False
6a5yn8,0,0,None,False
6ebujs,0,0,None,False
6inwke,0,0,None,False
9x54pd,0,1,None,False
a3ri4d,0,1,None,False
a43ojt,0,0,None,False
55ajwt,0,0,None,False
57ejx7,0,0,None,False
6icb2z,0,0,None,False
6icc1u,0,0,None,False
6knqqt,0,0,None,False
6xydw9,0,0,None,False
725rhw,0,0,None,False
725rta,0,0,None,False
7lu1ed,0,0,None,False
7lu2i9,0,0,None,False
5oht74,0,0,None,False
5ope6e,0,0,None,False
5ow3t9,0,0,None,False
5p45ip,0,0,None,False
5paxbr,0,0,None,False
5pieag,0,0,None,False
5po74b,0,0,None,False
5q2yd7,0,0,None,False
5q5z00,0,0,None,False
5qam5y,0,0,None,True
5qh7o9,0,0,None,False
5qnoyr,0,0,None,False
5qul95,0,0,None,False
5r0lya,0,0,None,False
5r8afs,0,0,None,False
5rf4hs,0,0,None,False
5rmcy7,0,0,None,False
5rtnk6,0,0,None,False
5s0p8o,0,0,None,False
5sdy7b,0,0,None,False
5ssayz,0,0,None,False
5szjvv,0,0,None,False
5t6muw,0,0,None,False
5tm4rq,0,0,None,False
5uej8s,0,0,None,False
2r79os,0,0,None,False
2rb273,0,0,None,False
2rfvru,0,0,None,False
5sjje4,0,0,None,False
66t8t7,0,0,None,False
6e1wbk,0,0,None,False
6jilbu,0,0,None,False
6jkz19,0,0,None,False
6jprrk,0,0,None,False
6jqqi2,0,0,None,False
6jtam9,0,0,None,False
6k0l82,0,0,None,False
6k5gpv,0,0,None,False
6kkxof,0,0,None,False
6r2vt5,0,0,None,False
6r4qyt,0,0,None,False
7y61tu,0,0,None,False
y55tq,0,0,None,False
ygg2m,0,0,None,False
zzech,0,0,None,False
189jzm,0,0,None,False
1dcxyt,0,0,None,False
1ip2y2,0,0,None,False
28ltk2,0,0,None,False
2y148m,0,0,None,False
379lfx,0,0,None,False
3d7135,0,0,None,False
3gezxz,0,0,None,False
3glfpd,0,0,None,True
3nqeie,1,0,None,False
40inra,0,0,None,False
49iuq9,0,0,None,False
49ommq,0,0,None,True
84utu0,0,0,None,False
7k1few,0,0,None,False
7tdpm3,0,0,None,False
7xiifr,0,0,None,False
8dfzx9,0,0,None,False
8ektq0,0,0,None,False
8o0sp1,0,0,None,False
930v7p,0,0,None,False
6io4hs,0,0,None,False
77vqr1,0,0,None,False
7dnif5,0,0,None,False
7sy08z,0,0,None,False
8ro6ec,0,0,None,False
3l5nw6,0,0,None,False
3m8tmw,0,0,None,False
3rva6k,0,0,None,False
3rveij,0,0,None,False
422c1l,0,0,None,False
43l956,0,0,None,False
